t1;VS;t2;m1t1;m1t2;m2t1;m2t2;m3t1;m3t2;a1;a2
Norwich;VS;West Ham;-0.012402355;0.11870727;-0.027339937;0.13019855;0.011008656;0.13209158;0;4
Watford;VS;Newcastle United;0.06064194;0.09420078;-0.022238255;0.11641967;0.041440718;0.12925959;2;1
Liverpool;VS;Burnley;0.094819464;0.28881404;0.1366649;0.15898906;0.1739821;0.068666056;1;1
Sheffield United;VS;Chelsea;0.11235167;-0.018925926;0.04505756;-0.056373246;0.06819407;0.10511429;3;0
Brighton;VS;Manchester City;0.004620267;0.31128812;0.055917226;0.13798845;0.028453348;0.20694631;0;5
Osasuna;VS;Celta Vigo;0.16995478;0.1266489;0.18654332;0.13785204;0.11424812;0.121661045;2;1
Real Valladolid;VS;Barcelona;0.03584103;0.17578879;0.056115616;0.08046258;0.06199671;0.16650221;0;1
Atletico Madrid;VS;Real Betis;0.13281234;0.1651013;0.049242765;0.14949127;0.09598023;0.13218333;1;0
Lazio;VS;Sassuolo;0.103554256;0.248929;0.0776749;0.1664203;0.13258778;0.1328553;1;2
Brescia;VS;Roma;0.034863736;0.0780764;-0.02094158;0.07420001;0.009803174;0.14298475;0;3
Juventus;VS;Atalanta;0.1334762;0.27572992;0.15041782;0.16430475;0.20383777;0.11187625;2;2
Belenenses SAD;VS;Moreirense;-0.01849064;0.20556526;0.048861895;0.15249382;0.061905187;0.12845272;0;1
Charlton;VS;Reading;0.117875725;0.14401774;0.12732275;0.11850845;0.08721521;0.10058052;0;1
Derby;VS;Brentford;0.078220665;0.2996763;0.08283221;0.18546006;0.14750497;0.13808268;1;3
Barnsley;VS;Wigan;0.12193133;0.24386281;0.07276045;0.11004121;0.07430352;0.15686677;0;0
Blackburn;VS;West Bromwich Albion;0.034623615;0.11242082;0.057736825;0.04921736;0.026922802;0.14846358;1;1
Hull;VS;Millwall;0.111638725;-0.013948687;0.07209405;-0.04401999;0.104086965;0.04669606;0;1
Middlesbrough;VS;Bristol City;0.099834025;0.18342906;0.08747908;0.11753181;0.09422747;0.090287656;1;3
Preston;VS;Nottingham Forest;0.11656367;0.22119932;0.06759038;0.17954259;0.09957839;0.12972453;1;1
Queens Park Rangers;VS;Sheffield Wednesday;0.14644863;0.17976561;0.12852705;0.0830467;0.13899449;0.099003166;0;3
Goztepe;VS;Genclerbirligi;0.10070133;0.069190964;0.09069111;0.062121484;0.09431494;0.10439478;1;3
Arsenal Tula;VS;FC Tambov;-0.017822152;0.10148113;0.09722845;0.11718372;0.089204356;0.068401426;2;1
FK Akhmat;VS;Zenit St. Petersburg;0.14920965;0.13516428;0.12135784;0.14578299;0.122093536;0.13198985;1;1
PFC Sochi;VS;Spartak Moscow;0.19796327;0.23223692;0.18813372;0.22226933;0.19149889;0.11815448;1;0
